filename,slice,min_row,min_col,max_row,max_col
sub-10090_ses-s2_T1w.nii.gz,137,35,12,193,147
sub-10090_ses-s4_T1w.nii.gz,135,37,12,191,147
sub-10090_ses-s6_T1w.nii.gz,117,36,12,194,147
sub-10091_ses-s0_T1w.nii.gz,147,36,12,201,146
sub-10091_ses-s2_T1w.nii.gz,141,33,12,198,146
sub-10092_ses-s0_T1w.nii.gz,152,24,13,209,149
sub-10093_ses-s0_T1w.nii.gz,142,31,10,196,150
sub-10094_ses-s4_T1w.nii.gz,141,34,16,195,141
sub-10094_ses-s6_T1w.nii.gz,124,37,18,198,143
sub-10095_ses-s0_T1w.nii.gz,163,39,12,197,149
sub-10096_ses-s0_T1w.nii.gz,138,30,18,197,143
sub-10099_ses-s0_T1w.nii.gz,137,21,10,186,149
sub-10102_ses-s0_T1w.nii.gz,144,37,4,191,155
sub-10102_ses-s2_T1w.nii.gz,140,39,4,193,155
sub-10102_ses-s4_T1w.nii.gz,138,39,4,191,155
sub-10102_ses-s6_T1w.nii.gz,144,43,4,195,153
sub-10103_ses-s2_T1w.nii.gz,138,33,15,194,144
sub-10103_ses-s4_T1w.nii.gz,151,28,16,186,146
sub-10103_ses-s6_T1w.nii.gz,120,31,15,191,144
sub-10104_ses-s0_T1w.nii.gz,144,34,15,197,144
sub-10106_ses-s0_T1w.nii.gz,142,30,12,202,149
sub-10106_ses-s2_T1w.nii.gz,143,28,10,203,146
sub-10106_ses-s4_T1w.nii.gz,153,21,10,195,147
sub-10106_ses-s6_T1w.nii.gz,120,36,10,210,146
sub-10107_ses-s0_T1w.nii.gz,144,36,15,201,146
sub-10108_ses-s0_T1w.nii.gz,143,36,12,191,146
sub-10109_ses-s0_T1w.nii.gz,143,33,13,194,147
sub-10110_ses-s0_T1w.nii.gz,140,22,15,206,146
sub-10110_ses-s2_T1w.nii.gz,138,24,13,206,144
sub-10110_ses-s4_T1w.nii.gz,154,27,13,209,143
sub-10110_ses-s6_T1w.nii.gz,147,31,13,209,144
sub-10111_ses-s0_T1w.nii.gz,141,37,15,188,147
sub-10112_ses-s0_T1w.nii.gz,135,25,13,203,146
sub-10112_ses-s2_T1w.nii.gz,147,28,13,206,146
sub-10112_ses-s6_T1w.nii.gz,125,31,12,206,146
sub-10113_ses-s0_T1w.nii.gz,137,30,13,194,146
sub-10114_ses-s0_T1w.nii.gz,148,34,9,207,152
sub-10115_ses-s0_T1w.nii.gz,144,31,13,200,147
sub-10115_ses-s2_T1w.nii.gz,140,28,12,201,147
sub-10115_ses-s4_T1w.nii.gz,144,30,13,200,147
sub-10115_ses-s6_T1w.nii.gz,138,28,10,201,146
sub-10117_ses-s0_T1w.nii.gz,140,27,10,206,149
sub-10118_ses-s0_T1w.nii.gz,144,31,12,200,149
sub-10119_ses-s0_T1w.nii.gz,144,25,12,203,147
sub-10119_ses-s2_T1w.nii.gz,147,27,12,204,147
sub-10119_ses-s4_T1w.nii.gz,150,27,13,201,147
sub-10119_ses-s6_T1w.nii.gz,150,25,12,204,147
sub-10122_ses-s2_T1w.nii.gz,141,33,7,198,155
sub-10123_ses-s0_T1w.nii.gz,138,27,6,207,153
sub-10124_ses-s0_T1w.nii.gz,141,34,9,197,149
sub-10124_ses-s2_T1w.nii.gz,144,36,10,197,150
sub-10124_ses-s4_T1w.nii.gz,134,35,10,191,150
sub-10124_ses-s6_T1w.nii.gz,130,31,9,195,149
sub-10125_ses-s0_T1w.nii.gz,141,36,13,203,144
sub-10125_ses-s2_T1w.nii.gz,142,33,13,201,144
sub-10125_ses-s4_T1w.nii.gz,146,35,13,204,144
sub-10127_ses-s0_T1w.nii.gz,141,36,15,188,144
sub-10127_ses-s2_T1w.nii.gz,141,37,15,191,144
sub-10127_ses-s4_T1w.nii.gz,147,36,15,183,144
sub-10128_ses-s0_T1w.nii.gz,135,37,16,188,141
sub-10128_ses-s2_T1w.nii.gz,135,37,16,187,141
sub-10129_ses-s0_T1w.nii.gz,146,39,12,192,146
sub-10129_ses-s2_T1w.nii.gz,150,40,12,194,146
sub-10129_ses-s4_T1w.nii.gz,146,39,13,194,146
sub-10129_ses-s6_T1w.nii.gz,156,19,11,177,144
sub-10131_ses-s0_T1w.nii.gz,150,31,16,200,140
sub-10131_ses-s2_T1w.nii.gz,146,31,16,200,140
sub-10131_ses-s4_T1w.nii.gz,150,22,15,186,141
sub-10132_ses-s0_T1w.nii.gz,150,34,12,197,147
sub-10132_ses-s2_T1w.nii.gz,144,33,12,195,149
sub-10132_ses-s4_T1w.nii.gz,145,33,12,195,147
sub-10132_ses-s6_T1w.nii.gz,121,27,12,188,149
sub-10133_ses-s0_T1w.nii.gz,144,34,12,197,152
sub-10134_ses-s0_T1w.nii.gz,149,28,16,200,140
sub-10134_ses-s2_T1w.nii.gz,141,27,16,197,140
sub-10134_ses-s4_T1w.nii.gz,146,31,18,197,141
sub-10135_ses-s0_T1w.nii.gz,142,40,15,189,146
sub-10135_ses-s2_T1w.nii.gz,141,39,15,189,146
sub-10135_ses-s4_T1w.nii.gz,143,40,13,191,144
sub-10135_ses-s6_T1w.nii.gz,145,34,13,186,144
sub-10136_ses-s0_T1w.nii.gz,139,31,12,198,150
sub-10136_ses-s2_T1w.nii.gz,144,34,12,203,150
sub-10136_ses-s4_T1w.nii.gz,153,34,12,197,149
sub-10136_ses-s6_T1w.nii.gz,124,34,10,204,147
sub-10137_ses-s0_T1w.nii.gz,144,36,15,198,146
sub-10138_ses-s0_T1w.nii.gz,150,31,13,197,143
sub-10138_ses-s2_T1w.nii.gz,144,30,13,194,144
sub-10138_ses-s4_T1w.nii.gz,144,30,13,194,143
sub-10138_ses-s6_T1w.nii.gz,152,34,15,194,144
sub-10139_ses-s0_T1w.nii.gz,147,31,10,198,149
sub-10139_ses-s2_T1w.nii.gz,143,31,10,197,149
sub-10139_ses-s4_T1w.nii.gz,158,27,9,191,147
sub-10139_ses-s6_T1w.nii.gz,131,30,10,197,149
sub-10140_ses-s2_T1w.nii.gz,144,34,12,197,149
sub-10140_ses-s6_T1w.nii.gz,125,31,12,197,147
sub-10141_ses-s0_T1w.nii.gz,144,30,9,204,150
sub-10141_ses-s2_T1w.nii.gz,144,28,7,203,150
sub-10141_ses-s4_T1w.nii.gz,145,27,9,200,150
sub-10141_ses-s6_T1w.nii.gz,156,30,9,206,150
sub-10142_ses-s0_T1w.nii.gz,153,30,19,200,143
sub-10142_ses-s2_T1w.nii.gz,151,33,16,201,140
sub-10142_ses-s6_T1w.nii.gz,157,30,18,203,141
sub-10143_ses-s0_T1w.nii.gz,137,31,13,194,144
sub-10144_ses-s0_T1w.nii.gz,144,30,13,197,147
sub-10144_ses-s2_T1w.nii.gz,151,31,13,201,147
sub-10144_ses-s4_T1w.nii.gz,147,30,13,200,147
sub-10144_ses-s6_T1w.nii.gz,134,29,13,197,149
sub-10145_ses-s0_T1w.nii.gz,141,31,15,194,144
sub-10146_ses-s0_T1w.nii.gz,142,36,10,196,149
sub-10146_ses-s2_T1w.nii.gz,138,34,10,194,149
sub-10148_ses-s0_T1w.nii.gz,150,31,9,201,147
sub-10148_ses-s2_T1w.nii.gz,150,31,10,203,150
sub-10148_ses-s6_T1w.nii.gz,138,40,9,215,149
sub-10149_ses-s0_T1w.nii.gz,147,31,10,200,146
sub-10149_ses-s2_T1w.nii.gz,145,31,11,203,149
sub-10149_ses-s6_T1w.nii.gz,136,28,9,195,146
sub-10150_ses-s0_T1w.nii.gz,153,33,12,197,147
sub-10150_ses-s2_T1w.nii.gz,147,33,10,197,147
sub-10150_ses-s6_T1w.nii.gz,159,27,10,191,147
sub-10151_ses-s0_T1w.nii.gz,141,34,13,191,144
sub-10152_ses-s0_T1w.nii.gz,147,34,15,199,146
sub-10152_ses-s2_T1w.nii.gz,143,33,15,191,147
sub-10153_ses-s0_T1w.nii.gz,146,33,10,193,149
sub-10153_ses-s2_T1w.nii.gz,141,33,10,203,149
sub-10154_ses-s0_T1w.nii.gz,144,31,10,206,150
sub-10155_ses-s0_T1w.nii.gz,146,31,12,203,147
sub-10156_ses-s0_T1w.nii.gz,142,30,10,202,150
sub-10156_ses-s2_T1w.nii.gz,139,30,10,199,152
sub-10156_ses-s4_T1w.nii.gz,154,22,9,190,149
sub-10156_ses-s6_T1w.nii.gz,126,31,10,204,152
sub-10157_ses-s0_T1w.nii.gz,138,31,10,203,146
sub-10157_ses-s2_T1w.nii.gz,139,31,12,201,146
sub-10157_ses-s4_T1w.nii.gz,144,31,12,203,146
sub-10157_ses-s6_T1w.nii.gz,129,28,13,198,147
sub-10158_ses-s0_T1w.nii.gz,141,25,9,203,147
sub-10158_ses-s2_T1w.nii.gz,150,24,10,206,147
sub-10158_ses-s4_T1w.nii.gz,149,24,10,203,147
sub-10160_ses-s0_T1w.nii.gz,145,31,9,200,150
sub-10160_ses-s6_T1w.nii.gz,111,25,9,200,149
sub-10161_ses-s0_T1w.nii.gz,147,31,13,203,149
sub-10161_ses-s2_T1w.nii.gz,144,31,12,201,147
sub-10161_ses-s6_T1w.nii.gz,138,36,12,206,147
sub-10162_ses-s0_T1w.nii.gz,146,33,12,200,149
sub-10162_ses-s2_T1w.nii.gz,139,30,12,195,150
sub-10162_ses-s4_T1w.nii.gz,143,34,10,200,148
sub-10162_ses-s6_T1w.nii.gz,156,39,12,207,149
sub-10163_ses-s0_T1w.nii.gz,144,33,12,197,144
sub-10168_ses-s2_T1w.nii.gz,144,34,16,198,146
sub-10168_ses-s4_T1w.nii.gz,144,33,13,195,144
sub-10168_ses-s6_T1w.nii.gz,123,34,13,198,146
sub-10169_ses-s2_T1w.nii.gz,138,36,12,194,146
sub-10169_ses-s4_T1w.nii.gz,136,36,12,195,146
sub-10169_ses-s6_T1w.nii.gz,120,36,10,194,144
sub-10171_ses-s2_T1w.nii.gz,141,30,13,201,146
sub-10171_ses-s4_T1w.nii.gz,155,22,13,197,146
sub-10171_ses-s6_T1w.nii.gz,134,31,12,203,144
sub-10173_ses-s2_T1w.nii.gz,136,37,10,187,150
sub-10173_ses-s4_T1w.nii.gz,140,34,10,185,147
sub-10173_ses-s6_T1w.nii.gz,132,33,9,186,147
sub-10175_ses-s2_T1w.nii.gz,150,34,10,199,144
sub-10176_ses-s4_T1w.nii.gz,141,25,9,200,149
sub-10177_ses-s0_T1w.nii.gz,142,31,10,195,149
sub-10178_ses-s0_T1w.nii.gz,138,30,10,198,146
sub-10179_ses-s0_T1w.nii.gz,156,36,18,203,141
sub-10180_ses-s0_T1w.nii.gz,145,30,16,199,143
sub-10180_ses-s2_T1w.nii.gz,143,30,16,199,143
sub-10181_ses-s0_T1w.nii.gz,146,32,10,200,149
sub-10181_ses-s2_T1w.nii.gz,144,30,12,200,149
sub-10181_ses-s6_T1w.nii.gz,132,30,10,200,147
sub-10183_ses-s0_T1w.nii.gz,144,28,12,203,147
sub-10183_ses-s2_T1w.nii.gz,139,28,13,204,147
sub-10184_ses-s0_T1w.nii.gz,142,36,15,189,144
sub-10186_ses-s0_T1w.nii.gz,147,34,12,200,149
sub-10187_ses-s0_T1w.nii.gz,153,33,10,201,149
sub-10189_ses-s0_T1w.nii.gz,140,39,13,197,152
sub-10189_ses-s4_T1w.nii.gz,146,37,13,190,150
sub-10190_ses-s0_T1w.nii.gz,144,27,19,197,138
sub-10190_ses-s2_T1w.nii.gz,147,28,19,200,137
sub-10190_ses-s4_T1w.nii.gz,141,27,21,195,140
sub-10191_ses-s0_T1w.nii.gz,144,37,18,197,140
sub-10191_ses-s2_T1w.nii.gz,147,37,18,195,140
sub-10191_ses-s4_T1w.nii.gz,141,37,18,194,140
sub-10191_ses-s6_T1w.nii.gz,138,37,18,194,133
sub-10193_ses-s0_T1w.nii.gz,142,31,16,202,143
sub-10193_ses-s2_T1w.nii.gz,143,30,16,203,141
sub-10194_ses-s0_T1w.nii.gz,144,33,13,197,146
sub-10194_ses-s2_T1w.nii.gz,144,33,12,195,144
sub-10194_ses-s4_T1w.nii.gz,152,34,13,197,146
sub-10194_ses-s6_T1w.nii.gz,142,37,13,204,146
sub-10195_ses-s0_T1w.nii.gz,141,34,9,198,150
sub-10195_ses-s2_T1w.nii.gz,142,37,12,201,152
sub-10195_ses-s4_T1w.nii.gz,124,30,9,199,150
sub-10195_ses-s6_T1w.nii.gz,158,34,12,174,147
sub-10197_ses-s0_T1w.nii.gz,146,31,15,197,146
sub-10197_ses-s2_T1w.nii.gz,144,31,15,197,146
sub-10197_ses-s4_T1w.nii.gz,142,31,15,195,146
sub-10199_ses-s0_T1w.nii.gz,153,34,13,197,146
sub-10199_ses-s2_T1w.nii.gz,144,34,13,195,144
sub-10200_ses-s0_T1w.nii.gz,150,33,13,203,146
sub-10200_ses-s2_T1w.nii.gz,147,31,13,201,147
sub-10200_ses-s4_T1w.nii.gz,149,33,13,203,146
sub-10200_ses-s6_T1w.nii.gz,125,33,13,203,147
sub-10201_ses-s0_T1w.nii.gz,144,27,13,197,146
sub-10201_ses-s2_T1w.nii.gz,147,30,12,203,143
sub-10202_ses-s0_T1w.nii.gz,147,25,16,203,143
sub-10203_ses-s0_T1w.nii.gz,150,31,7,203,152
sub-10203_ses-s2_T1w.nii.gz,143,31,7,200,152
sub-10203_ses-s4_T1w.nii.gz,144,31,7,200,152
sub-10203_ses-s6_T1w.nii.gz,148,33,7,207,152
sub-10204_ses-s0_T1w.nii.gz,144,37,11,194,149
sub-10204_ses-s2_T1w.nii.gz,141,34,12,194,149
sub-10204_ses-s4_T1w.nii.gz,158,37,10,195,149
sub-10205_ses-s0_T1w.nii.gz,142,24,9,209,152
sub-10205_ses-s2_T1w.nii.gz,138,23,7,206,152
sub-10205_ses-s4_T1w.nii.gz,150,28,7,203,150
sub-10205_ses-s6_T1w.nii.gz,138,28,9,213,152
sub-10206_ses-s0_T1w.nii.gz,136,28,13,196,152
sub-10206_ses-s2_T1w.nii.gz,142,30,13,198,149
sub-10206_ses-s4_T1w.nii.gz,140,28,12,194,150
sub-10206_ses-s6_T1w.nii.gz,156,22,12,186,147
sub-10207_ses-s0_T1w.nii.gz,140,36,10,193,147
sub-10207_ses-s2_T1w.nii.gz,138,34,13,195,149
sub-10207_ses-s4_T1w.nii.gz,135,31,12,191,147
sub-10208_ses-s0_T1w.nii.gz,133,36,10,192,146
sub-10208_ses-s2_T1w.nii.gz,136,37,12,193,147
sub-10208_ses-s4_T1w.nii.gz,151,31,12,184,148
sub-10209_ses-s0_T1w.nii.gz,141,30,13,201,147
sub-10210_ses-s0_T1w.nii.gz,136,33,12,195,146
sub-10210_ses-s2_T1w.nii.gz,135,34,12,195,146
sub-10212_ses-s0_T1w.nii.gz,141,28,10,200,149
sub-10213_ses-s0_T1w.nii.gz,142,34,18,195,147
sub-10213_ses-s2_T1w.nii.gz,142,34,16,195,146
sub-10213_ses-s4_T1w.nii.gz,139,34,16,195,146
sub-10214_ses-s0_T1w.nii.gz,152,33,18,200,140
sub-10215_ses-s0_T1w.nii.gz,142,36,12,189,149
sub-10216_ses-s0_T1w.nii.gz,142,36,15,189,144
sub-10217_ses-s0_T1w.nii.gz,145,27,13,204,147
sub-10219_ses-s0_T1w.nii.gz,141,36,19,197,143
sub-10220_ses-s0_T1w.nii.gz,145,36,15,194,143
sub-10221_ses-s0_T1w.nii.gz,142,31,12,201,147
sub-10222_ses-s0_T1w.nii.gz,139,37,12,192,150
sub-10223_ses-s0_T1w.nii.gz,143,36,16,194,143
sub-10225_ses-s0_T1w.nii.gz,141,22,11,207,150
sub-10226_ses-s0_T1w.nii.gz,143,33,12,199,144
sub-10229_ses-s0_T1w.nii.gz,137,30,9,198,152
sub-10229_ses-s2_T1w.nii.gz,140,31,7,200,147
sub-10229_ses-s4_T1w.nii.gz,139,22,9,189,150
sub-10230_ses-s0_T1w.nii.gz,141,42,10,191,147
sub-10230_ses-s2_T1w.nii.gz,136,40,10,191,147
sub-10230_ses-s4_T1w.nii.gz,141,42,13,194,149
sub-10231_ses-s0_T1w.nii.gz,139,37,19,193,138
sub-10233_ses-s0_T1w.nii.gz,139,24,12,204,147
sub-10233_ses-s2_T1w.nii.gz,152,19,13,194,147
sub-10233_ses-s4_T1w.nii.gz,145,18,12,192,146
sub-10235_ses-s0_T1w.nii.gz,143,31,13,194,146
sub-10235_ses-s2_T1w.nii.gz,145,31,15,192,146
sub-10235_ses-s4_T1w.nii.gz,147,31,13,194,144
sub-10235_ses-s6_T1w.nii.gz,130,30,14,188,146
sub-10237_ses-s0_T1w.nii.gz,138,25,12,200,149
sub-10237_ses-s4_T1w.nii.gz,139,25,12,196,149
sub-10237_ses-s6_T1w.nii.gz,143,34,12,194,147
sub-10238_ses-s0_T1w.nii.gz,144,28,16,200,143
sub-10238_ses-s4_T1w.nii.gz,133,24,18,200,146
sub-10238_ses-s6_T1w.nii.gz,139,31,16,204,143
sub-10240_ses-s0_T1w.nii.gz,144,36,13,203,146
sub-10240_ses-s2_T1w.nii.gz,146,37,15,196,147
sub-10240_ses-s4_T1w.nii.gz,143,32,13,200,144
sub-10240_ses-s6_T1w.nii.gz,132,31,13,197,146
sub-10241_ses-s2_T1w.nii.gz,147,36,16,197,144
sub-10242_ses-s0_T1w.nii.gz,144,34,16,200,144
sub-10242_ses-s2_T1w.nii.gz,138,33,15,194,144
sub-10244_ses-s0_T1w.nii.gz,147,25,16,201,141
sub-10244_ses-s2_T1w.nii.gz,138,27,16,197,144
sub-10244_ses-s6_T1w.nii.gz,152,22,18,194,143
sub-10245_ses-s0_T1w.nii.gz,145,40,18,191,143
sub-10245_ses-s6_T1w.nii.gz,143,45,16,197,140
sub-10247_ses-s0_T1w.nii.gz,138,28,13,197,146
sub-10247_ses-s2_T1w.nii.gz,150,30,13,200,146
sub-10247_ses-s4_T1w.nii.gz,141,28,13,198,147
sub-10247_ses-s6_T1w.nii.gz,125,37,13,206,146
sub-10248_ses-s0_T1w.nii.gz,147,33,16,197,143
sub-10249_ses-s0_T1w.nii.gz,139,39,13,190,146
sub-10250_ses-s0_T1w.nii.gz,137,31,18,197,143
sub-10251_ses-s6_T1w.nii.gz,129,27,18,192,140
sub-10253_ses-s2_T1w.nii.gz,141,37,15,195,147
sub-10253_ses-s4_T1w.nii.gz,144,39,13,197,146
sub-10254_ses-s0_T1w.nii.gz,150,31,16,200,144
sub-10256_ses-s2_T1w.nii.gz,140,34,12,194,143
sub-10256_ses-s4_T1w.nii.gz,158,37,13,199,144
sub-10256_ses-s6_T1w.nii.gz,126,34,15,200,146
sub-10258_ses-s0_T1w.nii.gz,135,30,12,195,144
sub-10258_ses-s2_T1w.nii.gz,137,31,12,194,144
sub-10258_ses-s4_T1w.nii.gz,133,30,13,195,146
sub-10259_ses-s0_T1w.nii.gz,140,34,19,194,141
sub-10260_ses-s0_T1w.nii.gz,142,31,15,198,147
sub-10261_ses-s0_T1w.nii.gz,139,39,12,192,149
sub-10261_ses-s4_T1w.nii.gz,142,40,12,194,149
sub-10262_ses-s0_T1w.nii.gz,137,34,13,192,143
sub-10262_ses-s2_T1w.nii.gz,136,34,13,190,143
